,totPurchaseAmt,street1,zip,property
44442,240000.0,2331 Wilson Street Northeast,55418,2331 Wilson Street Northeast 55418
44443,225000.0,,54009,
44444,587000.0,137 Holly Road,55343,137 Holly Road 55343
44445,550000.0,4238 Heathcote Rd,55391,4238 Heathcote Rd 55391
44446,550000.0,4238 Heathcote Road,55391,4238 Heathcote Road 55391
44448,195500.0,4786 Carrick Rd,55364,4786 Carrick Rd 55364
44449,162500.0,2119 2nd Ave N,55405,2119 2nd Ave N 55405
44451,124500.0,3715 Logan Ave N.,55411,3715 Logan Ave N. 55411
44452,230500.0,1331 Lincoln Street NE,55413,1331 Lincoln Street NE 55413
44453,550000.0,7004 Lee Valley Circle,55439,7004 Lee Valley Circle 55439
44454,155000.0,8712 14th Avenue South,55425,8712 14th Avenue South 55425
44455,329000.0,10023 Gentian Drive,55347,10023 Gentian Drive 55347
44456,699000.0,8206 Westwood Hills Curve,55426,8206 Westwood Hills Curve 55426
44457,335000.0,5525 Mahoney Ave,55345,5525 Mahoney Ave 55345
44458,149900.0,5645 Girard Avenue N,55430,5645 Girard Avenue N 55430
44459,180000.0,2121 village Trail,55364,2121 village Trail 55364
44460,136125.0,5931 VINCENT AVE N,55430,5931 VINCENT AVE N 55430
44461,957000.0,15002 Linner Ridge,55391,15002 Linner Ridge 55391
44462,742400.0,8847 Bristol Hill,55347,8847 Bristol Hill 55347
44464,270000.0,2607 Hayes St NE,55418,2607 Hayes St NE 55418
44465,238000.0,3845 Minnesota Lane N,55446,3845 Minnesota Lane N 55446
44466,1125000.0,4733 Eastwood Road,55345,4733 Eastwood Road 55345
44467,289000.0,1411 Yorkshire Ave. S,55305,1411 Yorkshire Ave. S 55305
44468,222000.0,,55447,
44469,187000.0,6704 Fariview Avenue N,55428,6704 Fariview Avenue N 55428
44470,210000.0,22332 County 30 Road,55374,22332 County 30 Road 55374
44473,240000.0,1431 Independance Ave S,55426,1431 Independance Ave S 55426
44475,274500.0,3643 Lincoln Street NE,55418,3643 Lincoln Street NE 55418
44476,261000.0,2942 Hampshire Ave N.,55427,2942 Hampshire Ave N. 55427
44478,125000.0,3526 Taylor Street NE,55418,3526 Taylor Street NE 55418
44479,90000.0,4710 58th Ave North,55369,4710 58th Ave North 55369
44482,384900.0,4113 Utica Avenue S,55416,4113 Utica Avenue S 55416
44483,190000.0,8973 MONTEGUE TER,55443,8973 MONTEGUE TER 55443
44484,219000.0,8308 Upton Avenue S,55431,8308 Upton Avenue S 55431
44485,350000.0,10808 Emerson Road,55431,10808 Emerson Road 55431
44486,206000.0,,55418,
44487,303000.0,4803 Carleton Road,55343,4803 Carleton Road 55343
44488,135000.0,8429 W 97 1/2 Street,55438,8429 W 97 1/2 Street 55438
44489,199000.0,9821 Xerxes Ave S,55431,9821 Xerxes Ave S 55431
44490,537000.0,6654 Empire Court N,55311,6654 Empire Court N 55311
44492,165500.0,8716 Crest Road,55425,8716 Crest Road 55425
44493,135000.0,6321 14th ave S,55423,6321 14th ave S 55423
44494,410000.0,4149 Colorado Avenue S,55416,4149 Colorado Avenue S 55416
44496,155000.0,3840 Toledo Avenue N,55422,3840 Toledo Avenue N 55422
44497,410000.0,7900 Rhode Island Circle,55438,7900 Rhode Island Circle 55438
44499,392000.0,18942 100th Avenue N,55311,18942 100th Avenue N 55311
44502,115000.0,309 Lowry Ave NE,55418,309 Lowry Ave NE 55418
44503,689945.77,10779 Brookside Trail,55316,10779 Brookside Trail 55316
44504,159500.0,6196 Golden Valley Road,55422,6196 Golden Valley Road 55422
44506,1050000.0,1414 Tyrol Trail,55416,1414 Tyrol Trail 55416
44507,254900.0,,55420,
44509,715020.0,6218 Braeburn Circle,55439,6218 Braeburn Circle 55439
44510,175000.0,8209 Ensign Road,55438,8209 Ensign Road 55438
44511,438000.0,3538 Pleasant Ave,55408,3538 Pleasant Ave 55408
44512,105000.0,21147 Dupont Ave N,55411,21147 Dupont Ave N 55411
44513,165000.0,8834 Cottonwood Lane N,55369,8834 Cottonwood Lane N 55369
44514,208740.0,5441 28th Avenue South,55417,5441 28th Avenue South 55417
44515,90000.0,8637 Bloomington Ave S,55425,8637 Bloomington Ave S 55425
44516,377500.0,312 Cedar Lake Road S,55405,312 Cedar Lake Road S 55405
44517,280000.0,6511 Bluebird Drive,55369,6511 Bluebird Drive 55369
44518,190000.0,7364 Drew Avenue N,55443,7364 Drew Avenue N 55443
44519,207000.0,4265 Zenith Ave N,55422,4265 Zenith Ave N 55422
44520,182000.0,7024 Janell Ave N.,55428,7024 Janell Ave N. 55428
44521,265000.0,5728 Wentworth Avenue,55419,5728 Wentworth Avenue 55419
44522,646000.0,5025 Hankerson Ave,55436,5025 Hankerson Ave 55436
44523,496500.0,14937 Valley View Road,55344,14937 Valley View Road 55344
44524,281500.0,11221 133rd Avenue N,55327,11221 133rd Avenue N 55327
44525,338000.0,6016 Zenith Ave S,55410,6016 Zenith Ave S 55410
44526,387000.0,"5505 102nd Ave. North,",55443,"5505 102nd Ave. North, 55443"
44527,148000.0,5656 45th Ave. S.,55417,5656 45th Ave. S. 55417
44528,575000.0,15790 Elodie Lane,55345,15790 Elodie Lane 55345
44530,205000.0,5975 Pinewood Lane,55305,5975 Pinewood Lane 55305
44532,187500.0,11709 Shady Oak Dr,55343,11709 Shady Oak Dr 55343
44534,142500.0,16503 Ellerdale Lane,55345,16503 Ellerdale Lane 55345
44535,142500.0,16503 Ellerdale Lane,55436,16503 Ellerdale Lane 55436
44538,232000.0,4956 Three Points Boulevard,55364,4956 Three Points Boulevard 55364
44539,280000.0,241 14th Avenue N.,55343,241 14th Avenue N. 55343
44540,222000.0,3133 Florida Ave S,55426,3133 Florida Ave S 55426
44541,85000.0,5544 34th Ave S,55417,5544 34th Ave S 55417
44542,131000.0,2223 Lyndale Ave N,55411,2223 Lyndale Ave N 55411
44543,177900.0,4800 Virginia Avenue N.,55428,4800 Virginia Avenue N. 55428
44544,300000.0,3716 Zenith Avenue N,55422,3716 Zenith Avenue N 55422
44545,188000.0,4335 Ewing Avenue N,55422,4335 Ewing Avenue N 55422
44547,180000.0,1700 Sugarloaf Trail,55444,1700 Sugarloaf Trail 55444
44548,189900.0,4149 28th Avenue S,55406,4149 28th Avenue S 55406
44550,357000.0,9552 Yukon Circle S,55438,9552 Yukon Circle S 55438
44551,393000.0,10517 Quebec Road,55438,10517 Quebec Road 55438
44552,295500.0,2901 Orchard Avenue N.,55422,2901 Orchard Avenue N. 55422
44554,342500.0,4815 Valley Forge Lane N,55442,4815 Valley Forge Lane N 55442
44555,365000.0,5500 Wentworth Avenue,55419,5500 Wentworth Avenue 55419
44557,129000.0,3601 E. 54th Street,55413,3601 E. 54th Street 55413
44558,248000.0,13962 77th Ave North,55311,13962 77th Ave North 55311
44560,324750.0,9355 Norwood Court N,55369,9355 Norwood Court N 55369
44561,323000.0,2816 Xenwood Ave S,55416,2816 Xenwood Ave S 55416
44563,245000.0,5548 Washburn Avenue S,55410,5548 Washburn Avenue S 55410
44564,155000.0,18110 Covington Path,55345,18110 Covington Path 55345
44565,345000.0,14962 80th Place N,55311,14962 80th Place N 55311
44566,218500.0,4126 Upton Avenue N,55412,4126 Upton Avenue N 55412
44567,242000.0,6426 13th Avenue S,55423,6426 13th Avenue S 55423
44568,213000.0,5331 Idaho Avenue N,55428,5331 Idaho Avenue N 55428
44569,715000.0,5200 Green Farms Road,55436,5200 Green Farms Road 55436
44571,299000.0,8631 Harrison Circle,55437-1610,8631 Harrison Circle 55437-1610
44572,139000.0,"5325 Orleans Lane N, Apt 3",55442,"5325 Orleans Lane N, Apt 3 55442"
44573,328229.0,4952 Humboldt Lane,55430,4952 Humboldt Lane 55430
44574,90000.0,"4101 Parklawn Avenue, Unit 339",55435,"4101 Parklawn Avenue, Unit 339 55435"
44575,165000.0,4509 78th Avenue North,55443,4509 78th Avenue North 55443
44576,279000.0,10158 Nottingham Trail,55347,10158 Nottingham Trail 55347
44577,175000.0,9508 Clinton Avenue S,55420,9508 Clinton Avenue S 55420
44578,340000.0,15616 Boulder Creek Drive,55345,15616 Boulder Creek Drive 55345
44579,137900.0,3629 Noble Avenue N,55422,3629 Noble Avenue N 55422
44580,260000.0,12620 73rd Ave N,55369,12620 73rd Ave N 55369
44581,135000.0,3517 Brookdale Drive North,55443,3517 Brookdale Drive North 55443
44582,680000.0,6400 Timber Ridge,55439,6400 Timber Ridge 55439
44585,364000.0,3809 104th St. W.,55431,3809 104th St. W. 55431
44586,407000.0,4737 10th avenue S.,55407,4737 10th avenue S. 55407
44588,239900.0,226 Tyler Avenue N,55343,226 Tyler Avenue N 55343
44589,177500.0,6620 41st Avenue N,55427,6620 41st Avenue N 55427
44590,565000.0,16725 43rd Avenue N,55446,16725 43rd Avenue N 55446
44591,193000.0,9995 99th Avenue N,55369,9995 99th Avenue N 55369
44592,227500.0,9124 Bloomington Ave. S.,55425,9124 Bloomington Ave. S. 55425
44594,836250.0,5351 Baywood Shores Drive,55364,5351 Baywood Shores Drive 55364
44595,270000.0,13601 Lake Street Extension,55345,13601 Lake Street Extension 55345
44597,243900.0,8124 Oakview La N.,55369,8124 Oakview La N. 55369
44598,209900.0,4219 Florida Avenue N.,55441,4219 Florida Avenue N. 55441
44599,623000.0,436 Oliver Avenue S,55405,436 Oliver Avenue S 55405
44601,365000.0,9621 Xerxes Circle S,55431,9621 Xerxes Circle S 55431
44602,160500.0,2657 Westedge Boulevard,55364,2657 Westedge Boulevard 55364
44604,361000.0,,55406,
44605,280000.0,5125 W. 105th St.,55437,5125 W. 105th St. 55437
44606,481000.0,13305 32nd Ave North,55441,13305 32nd Ave North 55441
44607,238000.0,11279 Preswick Boulevard,55344,11279 Preswick Boulevard 55344
44608,244300.0,178 95th Street Circle,55420,178 95th Street Circle 55420
44609,300000.0,2630 Pineview Lane N,55441,2630 Pineview Lane N 55441
44610,310000.0,9200 La Rivier Court,55347,9200 La Rivier Court 55347
44612,161900.0,1010 Evergreen Lane N,55441,1010 Evergreen Lane N 55441
44613,219000.0,2951 Taylor Street NE,55418,2951 Taylor Street NE 55418
44614,167900.0,4151 Upton Ave N,55412,4151 Upton Ave N 55412
44615,479000.0,3630 Alvarado Lane N,55446,3630 Alvarado Lane N 55446
44616,234900.0,315 Berkshire Lane N,55441,315 Berkshire Lane N 55441
44617,250000.0,5700 24th Avenue South,55417,5700 24th Avenue South 55417
44618,144900.0,3918 Sheridan Ave N,55412,3918 Sheridan Ave N 55412
44619,238500.0,4241 11th Avenue S,55407,4241 11th Avenue S 55407
44620,435000.0,11515 Preserve Lane N,55316,11515 Preserve Lane N 55316
44621,410000.0,8767 Stratford Crossing N,55443,8767 Stratford Crossing N 55443
44623,209900.0,9128 Neill Lake Road,55347,9128 Neill Lake Road 55347
44624,447000.0,8071 Shadyview Lane N,55311,8071 Shadyview Lane N 55311
44626,318700.0,2117 86th Street E,55425,2117 86th Street E 55425
44627,185000.0,5232 80th Ave N,55443,5232 80th Ave N 55443
44630,196000.0,3506 Abbott Avenue N,55422,3506 Abbott Avenue N 55422
44631,600000.0,99 Forestdale Road,55410,99 Forestdale Road 55410
44632,233000.0,10366 Rich Road,55437,10366 Rich Road 55437
44633,770000.0,7500 Kingswood Road,55364,7500 Kingswood Road 55364
44634,295000.0,13822 Hill Place Drive,55374,13822 Hill Place Drive 55374
44635,415000.0,3705 Arbor Lane S,55305,3705 Arbor Lane S 55305
44636,899000.0,,55340,
44637,181900.0,3539 Taylor Street NE,55418,3539 Taylor Street NE 55418
44638,119900.0,3423 Knox Ave N,55412,3423 Knox Ave N 55412
44640,410000.0,4837 Diane Drive,55343,4837 Diane Drive 55343
44641,875000.0,5525 Shenandoah Lane North,55446,5525 Shenandoah Lane North 55446
44642,450000.0,5756 Knox Avenue S,55419,5756 Knox Avenue S 55419
44643,226000.0,10810 Sheridan Avenue S,55431,10810 Sheridan Avenue S 55431
44644,141085.0,2240 Rachview Lane N. Unit 76,55447,2240 Rachview Lane N. Unit 76 55447
44645,135000.0,13733 74th Avenue North,55311,13733 74th Avenue North 55311
44647,205000.0,4920 54th Avenue N,55429,4920 54th Avenue N 55429
44648,68316.78,419 Queen Avenue N,55405,419 Queen Avenue N 55405
44649,515000.0,16381 69th Place North,55311,16381 69th Place North 55311
44651,375000.0,1705 Baywood Shores Drive,55364,1705 Baywood Shores Drive 55364
44652,229000.0,7832 Kyle Ave N,55443,7832 Kyle Ave N 55443
44653,231400.0,6739 Zinnia Lane N,55311,6739 Zinnia Lane N 55311
44654,333500.0,10172 Elm Creek Trail N,55316,10172 Elm Creek Trail N 55316
44656,280000.0,5705 34th Avenue S.,55407,5705 34th Avenue S. 55407
44658,308100.0,2418 Ford Road,55305,2418 Ford Road 55305
44659,179900.0,13850 54th Avenue N,55446,13850 54th Avenue N 55446
44661,715000.0,155 Wear Lane N.,55356,155 Wear Lane N. 55356
44663,365000.0,,55435,
44664,390000.0,4749 12th Avenue S,55407,4749 12th Avenue S 55407
44665,230000.0,,55012,
44666,194000.0,9319 2nd Avenue S,55420,9319 2nd Avenue S 55420
44667,192500.0,6108 Vincent Ave S,55410,6108 Vincent Ave S 55410
44668,187100.0,3940 Oregon Avenue N,55427,3940 Oregon Avenue N 55427
44669,264900.0,4553 Yates Avenue N,55422,4553 Yates Avenue N 55422
44670,150000.0,409 Sunset Drive West,55316,409 Sunset Drive West 55316
44672,179900.0,13934 52nd Avenue N,55446,13934 52nd Avenue N 55446
44673,152500.0,8588 Xenium Lane N,55369,8588 Xenium Lane N 55369
44675,455500.0,4333 Brook Avenue S.,55424,4333 Brook Avenue S. 55424
44676,360000.0,16617 Bywood Place,55345,16617 Bywood Place 55345
44678,269900.0,2517 W Armour Terrace,55418,2517 W Armour Terrace 55418
44679,257000.0,11801 Bradford Rd,55343,11801 Bradford Rd 55343
44680,144900.0,3958 Aldrich Ave N,55412,3958 Aldrich Ave N 55412
44681,263200.0,3746 1st Ave S,55409,3746 1st Ave S 55409
44682,130000.0,9412 Ranchview Lane N,55369,9412 Ranchview Lane N 55369
44685,180000.0,3112 Woodlawn Avenue,55391,3112 Woodlawn Avenue 55391
44686,156000.0,15805 24th Avenue N Unit C.,55447,15805 24th Avenue N Unit C. 55447
44687,266000.0,9435 County Road 101,55340,9435 County Road 101 55340
44690,233500.0,16215 Gleason Lake Road,55391,16215 Gleason Lake Road 55391
44691,205000.0,8400 Rhode Island Drive N,55445,8400 Rhode Island Drive N 55445
44692,500000.0,2540 Seabury Ave.,55406,2540 Seabury Ave. 55406
44693,271500.0,8019 Kirkwood Lane N,55369,8019 Kirkwood Lane N 55369
44694,190000.0,8933 Pineview Lane North,55369,8933 Pineview Lane North 55369
44695,400000.0,5540 10th Avenue S,55417,5540 10th Avenue S 55417
44696,260900.0,2820 91st Street W,55431,2820 91st Street W 55431
44697,362000.0,3928 Lynn Ave,55416,3928 Lynn Ave 55416
44698,392500.0,2624 Inglewood Avenue S,55416,2624 Inglewood Avenue S 55416
44699,248000.0,6421 Clinton Avenue S.,55423,6421 Clinton Avenue S. 55423
44700,229900.0,6344 Morgan Avenue S,55423,6344 Morgan Avenue S 55423
44701,348500.0,3104 Roosevelt St NE,55418,3104 Roosevelt St NE 55418
44703,169000.0,4544 Upton Ave N,55412,4544 Upton Ave N 55412
44704,193000.0,16130 Baxter Ave,55327,16130 Baxter Ave 55327
44705,361500.0,2722  Salem Avenue,55416,2722  Salem Avenue 55416
44707,177900.0,"1855 Terraceview Lane N, Unit D",55447,"1855 Terraceview Lane N, Unit D 55447"
44708,360000.0,16160 84th Avenue North,55311,16160 84th Avenue North 55311
44710,73200.0,"10630 Rockford Road, Unit 307",55442,"10630 Rockford Road, Unit 307 55442"
44711,224500.0,6924 Newton Avenue Q,55423,6924 Newton Avenue Q 55423
44712,765000.0,5505 Glengarry Parkway,55436,5505 Glengarry Parkway 55436
44713,126900.0,2217 Harriet Ave,55405,2217 Harriet Ave 55405
44717,262680.0,25645 Valleywood Lane,55331,25645 Valleywood Lane 55331
44718,344270.0,3720 102nd Lane N,55443,3720 102nd Lane N 55443
44719,347500.0,5212 Columbus Avenue,55417,5212 Columbus Avenue 55417
44720,220000.0,419 76th Avenue N,55444,419 76th Avenue N 55444
44721,400000.0,6438 Ranchview Lane N,55311,6438 Ranchview Lane N 55311
44723,220000.0,3557 37th Avenue S,55406,3557 37th Avenue S 55406
44724,240000.0,9443 10th Avenue South,55420,9443 10th Avenue South 55420
44725,399000.0,5832 Deerwood Lane N,55442,5832 Deerwood Lane N 55442
44726,174000.0,5536 37th Avenue S.,55437,5536 37th Avenue S. 55437
44727,400000.0,10101 Irwin Road,55437,10101 Irwin Road 55437
44728,334000.0,7545 3rd Avenue S,55423,7545 3rd Avenue S 55423
44730,145000.0,8438 1st Avenue South,55420,8438 1st Avenue South 55420
44731,116000.0,4659 Emerson Avenue N,55412,4659 Emerson Avenue N 55412
44732,362000.0,6012 Knox Avenue S,55419,6012 Knox Avenue S 55419
44733,198900.0,8647 Prestwick Lane N,55443,8647 Prestwick Lane N 55443
44735,335000.0,,55343,
44737,174000.0,8536 Stratford Lane,55443,8536 Stratford Lane 55443
44738,407500.0,3645 36th Avenue S,55406,3645 36th Avenue S 55406
44740,415000.0,11273 Deerwood Lane N,55369,11273 Deerwood Lane N 55369
44743,510000.0,3908 Victoria Street,55345,3908 Victoria Street 55345
44744,209900.0,3048 16th Ave S,55407,3048 16th Ave S 55407
44745,93500.0,,55038,
44746,291000.0,8779 Knollwood Drive,55347,8779 Knollwood Drive 55347
44748,390000.0,6100 Beachwood Road,55364,6100 Beachwood Road 55364
44749,425000.0,9271 Hyland Creek Road,55437,9271 Hyland Creek Road 55437
44750,406000.0,3343 Aldrich Ave So,55408,3343 Aldrich Ave So 55408
44751,330000.0,38 Arthur Avenue SE,55414,38 Arthur Avenue SE 55414
44752,197900.0,4605 Fern Street,55359,4605 Fern Street 55359
44753,337000.0,9937 Kell Avenue S,55437,9937 Kell Avenue S 55437
44754,299900.0,9146 Ives Lane N,55369,9146 Ives Lane N 55369
44756,215000.0,3209 Ewing Ave N,55422,3209 Ewing Ave N 55422
44757,165000.0,10101 Wentworth Avenue S,55420,10101 Wentworth Avenue S 55420
44758,1185000.0,5630 Pineview Lane N,55442,5630 Pineview Lane N 55442
44759,168700.0,13502 86th Avenue North,55369,13502 86th Avenue North 55369
44760,215000.0,12625 26th Ave N,55441,12625 26th Ave N 55441
44761,470000.0,15386 Village Woods Dr.,55347,15386 Village Woods Dr. 55347
44766,191000.0,13905 Erwin Court,55344,13905 Erwin Court 55344
44770,215000.0,5436 45th Avenue S,55417,5436 45th Avenue S 55417
44771,203900.0,6513 Brentwood Avenue N,55428,6513 Brentwood Avenue N 55428
44772,385000.0,7605 Heritage Road,55346,7605 Heritage Road 55346
44773,225000.0,5332 Chicago Ave S,55417,5332 Chicago Ave S 55417
44774,540000.0,3915 Xerxes Ave S,55410,3915 Xerxes Ave S 55410
44775,82750.0,"5545 Chicago Avenue, Unit  103",55417,"5545 Chicago Avenue, Unit  103 55417"
44777,217000.0,10631 Xavier Avenue S.,55437,10631 Xavier Avenue S. 55437
44778,360000.0,26080 Tucker Road,55374,26080 Tucker Road 55374
44780,300000.0,6628 Knox Ave. S.,55423,6628 Knox Ave. S. 55423
44781,460000.0,,55441,
44782,540000.0,2486 Hemlock Lane N,55441,2486 Hemlock Lane N 55441
44783,163000.0,306 Penn Avenue North,55405,306 Penn Avenue North 55405
44784,169000.0,6329 47th Ave N,55428,6329 47th Ave N 55428
44785,350000.0,5424 Aldrich Avenue S.,55419,5424 Aldrich Avenue S. 55419
44786,165100.0,13479 Carmody Drive,55344,13479 Carmody Drive 55344
44787,135000.0,3225 Welcome Avenue N.,55422,3225 Welcome Avenue N. 55422
44788,428500.0,17060 72nd Avenue North,55311,17060 72nd Avenue North 55311
44789,327000.0,1715 Garland Lane N,55447,1715 Garland Lane N 55447
44790,229900.0,1535 Florida Avenue N,55427,1535 Florida Avenue N 55427
44792,133245.0,8393 Knox Avenue,55431,8393 Knox Avenue 55431
44794,671500.0,4432 Dupont Ave So,55419,4432 Dupont Ave So 55419
44795,189900.0,2015 3rd Street NE,55418,2015 3rd Street NE 55418
44796,120000.0,4240 29th Ave. S.,55406,4240 29th Ave. S. 55406
44798,574400.0,253 Ashley Road,55343,253 Ashley Road 55343
44799,380000.0,2950 Polk St NE,55418,2950 Polk St NE 55418
44800,229900.0,1795 Black Oaks Lane North,55447,1795 Black Oaks Lane North 55447
44801,155000.0,6800 Russell Ave S,55423,6800 Russell Ave S 55423
44802,226000.0,3424 W 87TH STREET,55431,3424 W 87TH STREET 55431
44803,270000.0,6029 Morgan Avenue S,55419,6029 Morgan Avenue S 55419
44806,170000.0,4119 Hemlock Lane N,55441,4119 Hemlock Lane N 55441
44808,131355.0,5934 Hawthorne Rd,55364,5934 Hawthorne Rd 55364
44813,199000.0,5049 Woodlawn Blvd,55417,5049 Woodlawn Blvd 55417
44814,230000.0,5612 Thomas Avenue S,55410,5612 Thomas Avenue S 55410
44815,269500.0,6304 Aldrich Ave S,55423,6304 Aldrich Ave S 55423
44816,325000.0,4940 31st Ave S,55417,4940 31st Ave S 55417
44817,60000.0,3726 Queen Avenue N,55412,3726 Queen Avenue N 55412
44818,709000.0,2015 Queen Ave So,55405,2015 Queen Ave So 55405
44819,283000.0,2420 Mount View Avenue,55405,2420 Mount View Avenue 55405
44821,542500.0,7425 Farmhill Drive,55364,7425 Farmhill Drive 55364
44822,167890.0,,55428,
44823,349000.0,4045 Terraceview Ln N,55446,4045 Terraceview Ln N 55446
44825,249750.0,3223 24th Ave S,55406,3223 24th Ave S 55406
44826,210000.0,1009 Rhode Island Ave N,55427,1009 Rhode Island Ave N 55427
44827,295000.0,6800 23rd Street W,55426,6800 23rd Street W 55426
44828,255000.0,8669 Xenium Lane N,55369,8669 Xenium Lane N 55369
44829,270000.0,5501 Washburn Avenue S,55410,5501 Washburn Avenue S 55410
44830,274000.0,4066 Flag Avenue S,55426,4066 Flag Avenue S 55426
44832,269000.0,5038 Woodland Road,55364,5038 Woodland Road 55364
44833,175000.0,7511 119th Lane N,55316,7511 119th Lane N 55316
44834,245000.0,3500 32nd Ave NE,55418,3500 32nd Ave NE 55418
44835,335000.0,7287 Gerard Drive,55346,7287 Gerard Drive 55346
44837,315000.0,2215 Milwaukee Avenue,55404,2215 Milwaukee Avenue 55404
44838,232500.0,9039 Colfax Avenue South,55420,9039 Colfax Avenue South 55420
44839,557000.0,23 Washburn Avenue S,55405,23 Washburn Avenue S 55405
44840,271000.0,10111 Indigo Drive,55347,10111 Indigo Drive 55347
44841,219900.0,3129 33rd Avenue South,55406,3129 33rd Avenue South 55406
44842,458000.0,17982 79th Avenue N,55311,17982 79th Avenue N 55311
44843,380000.0,8802 Everest Lane N,55311,8802 Everest Lane N 55311
44844,140350.0,823 Sheridan Ave N,55411,823 Sheridan Ave N 55411
44846,257000.0,15385 60th Avenue N.,55446,15385 60th Avenue N. 55446
44847,399012.0,14429 Oxbow Lane,55327,14429 Oxbow Lane 55327
44849,475000.0,10469 Scott Avenue N,55443,10469 Scott Avenue N 55443
44850,94800.0,10934 Quebec Avenue South,55438,10934 Quebec Avenue South 55438
44851,82000.0,535 Newton Avenue N,55405,535 Newton Avenue N 55405
44852,387500.0,4037 Utica Avenue S,55416,4037 Utica Avenue S 55416
44853,175000.0,13921 Excelsior Blvd,55345,13921 Excelsior Blvd 55345
44854,134900.0,5648 Alder Road,55364,5648 Alder Road 55364
44855,350000.0,5020 Windsor Ave.,55436,5020 Windsor Ave. 55436
44856,117300.0,6223 64th Avenue North,55429,6223 64th Avenue North 55429
44857,309900.0,13443 96th Place N,55369,13443 96th Place N 55369
44858,195000.0,3023 Lynn Ave S Unit 1,55416,3023 Lynn Ave S Unit 1 55416
44859,170000.0,8886 Cottonwood Lane N,55369,8886 Cottonwood Lane N 55369
44860,432000.0,4212 Washburn Avenue S,55410,4212 Washburn Avenue S 55410
44861,267000.0,9955 Elm Creek Trail N,55316,9955 Elm Creek Trail N 55316
44862,169900.0,2600 Upton Avenue North,55411,2600 Upton Avenue North 55411
44863,663000.0,242 Morgan Avenue S,55405,242 Morgan Avenue S 55405
44864,348000.0,1009 90th Street W,55420,1009 90th Street W 55420
44865,246000.0,5208 Shoreview Avenue,55417,5208 Shoreview Avenue 55417
44866,175000.0,18274 Conflower Lane,55346,18274 Conflower Lane 55346
44868,137000.0,3308 23rd Ave S,55407,3308 23rd Ave S 55407
44869,191250.0,8346 Wentworth Avenue South,55420,8346 Wentworth Avenue South 55420
44870,777000.0,1772 Lafayette Lane,55364,1772 Lafayette Lane 55364
44871,459000.0,5136 Oliver Avenue S,55419,5136 Oliver Avenue S 55419
44873,80000.0,,21701,
44874,195000.0,3206 Hayes St. NE,55418,3206 Hayes St. NE 55418
44875,407500.0,16987 72nd Place N,55311,16987 72nd Place N 55311
44876,175000.0,6609 58th Avenue N,55428,6609 58th Avenue N 55428
44877,184500.0,10233 Scarborough Road,55437,10233 Scarborough Road 55437
44879,292900.0,5845 Queen Avenue South,55410,5845 Queen Avenue South 55410
44880,185000.0,9829 Creek View Circle,55374,9829 Creek View Circle 55374
44881,950000.0,3964 Enchanted Lane,55364,3964 Enchanted Lane 55364
44882,209900.0,3152 36th Avenue S,55406,3152 36th Avenue S 55406
44883,325000.0,16204 50th Avenue N,55446,16204 50th Avenue N 55446
44885,289000.0,3509 Woody Lane,55305,3509 Woody Lane 55305
44886,157000.0,6718 Drew Ave N,55429,6718 Drew Ave N 55429
44887,164900.0,7409 Zane Avenue N,55443,7409 Zane Avenue N 55443
44889,269000.0,8827 Knollwood Drive,55347,8827 Knollwood Drive 55347
44890,190700.0,13332 Linwood Forest Cir N,55316,13332 Linwood Forest Cir N 55316
44891,237650.0,9331 Portland Ave S,55420,9331 Portland Ave S 55420
44892,110000.0,8071 Co Rd 50,55373,8071 Co Rd 50 55373
44893,189000.0,7420 Brunswick Avenue North,55443,7420 Brunswick Avenue North 55443
44894,870000.0,10535 Parker Drive,55347,10535 Parker Drive 55347
44895,300000.0,4912 Payton Court,55435,4912 Payton Court 55435
44896,216500.0,3527 32nd Avenue S,55406,3527 32nd Avenue S 55406
44900,149000.0,6900 Lee Avenue North,55429,6900 Lee Avenue North 55429
44901,205000.0,7511 119th Lane N,55316,7511 119th Lane N 55316
44904,200000.0,9120 Windsor Terrace,55443,9120 Windsor Terrace 55443
44906,160000.0,3309 Texas Ave. S,55426,3309 Texas Ave. S 55426
44907,180000.0,7119 Morgan Avenue N,55430,7119 Morgan Avenue N 55430
44908,540000.0,4824 Lamplighters Lane,55345,4824 Lamplighters Lane 55345
44909,201000.0,7428 5th Avenue S,55423,7428 5th Avenue S 55423
44910,272500.0,1331 99th Street East,55425,1331 99th Street East 55425
44911,147500.0,3400 Upton Ave N,55412,3400 Upton Ave N 55412
44912,424000.0,4413 Claremore Dr,55435,4413 Claremore Dr 55435
44913,810000.0,2730 Rainey Road,55391,2730 Rainey Road 55391
44914,262500.0,8619 Maryland Avenue N,55445,8619 Maryland Avenue N 55445
44916,145000.0,12382 Zealand Avenue N,55316,12382 Zealand Avenue N 55316
44917,180100.0,5415 Girard Ave N #B,55430,5415 Girard Ave N #B 55430
44920,434200.0,14208 River Hills Parkway,55327,14208 River Hills Parkway 55327
44921,149900.0,5317 80th Avenue N,55443,5317 80th Avenue N 55443
44922,428774.0,14433 Oxbow Lane,55327,14433 Oxbow Lane 55327
44923,215000.0,3346 Virginia Avenue South,55426,3346 Virginia Avenue South 55426
44924,340000.0,4720 Magnolia Lane North,55442,4720 Magnolia Lane North 55442
44925,345000.0,4617 Bryant Avenue south,55419,4617 Bryant Avenue south 55419
